"","gisjoin","year","diff","male","female"
"404","G3700470",1820,0.001,1960,1952
"405","G3700490",1820,-0.009,6571,6823
"406","G3700510",1820,0.005,7292,7154
"407","G3700530",1820,0.011,4140,3958
"408","G3700610",1820,-0.005,4819,4925
"409","G3700650",1820,0.002,6661,6615
"410","G3700690",1820,-0.004,4829,4912
"411","G3700730",1820,0.054,3787,3050
"412","G3700770",1820,0.009,9264,8952
"413","G3700790",1820,0.003,2282,2251
"414","G3700810",1820,0.02,7551,6960
"415","G3700830",1820,0.009,8778,8459
"416","G3700870",1820,-0.002,2028,2045
"417","G3700910",1820,-0.001,3848,3864
"418","G3700950",1820,-0.002,2472,2495
"419","G3700970",1820,-0.003,6493,6578
"420","G3701010",1820,0.008,4876,4731
"421","G3701030",1820,0.012,2669,2547
"422","G3701070",1820,-0.007,3354,3445
"423","G3701090",1820,0.013,9312,8835
"424","G3701170",1820,0.01,3225,3095
"425","G3701190",1820,-0.005,8362,8533
"426","G3701230",1820,0.009,4423,4270
"427","G3701250",1820,0.001,3568,3560
"428","G3701270",1820,-0.002,4079,4106
"429","G3701290",1820,0.001,5444,5422
"430","G3701310",1820,0.003,6667,6575
"431","G3701330",1820,0.011,3586,3430
"432","G3701350",1820,0.003,11808,11684
"433","G3701390",1820,0.024,4194,3814
"434","G3701430",1820,-0.001,3424,3433
"435","G3701450",1820,0.008,4586,4443
"436","G3701470",1820,0.009,5095,4906
"437","G3701510",1820,0.004,5707,5618
"438","G3701530",1820,0.003,3790,3747
"439","G3701550",1820,-0.02,3941,4263
"440","G3701570",1820,0.002,5757,5717
"441","G3701590",1820,-0.006,12855,13154
"442","G3701610",1820,0.016,7919,7432
"443","G3701630",1820,0.001,4466,4442
"444","G3701690",1820,-0.011,6860,7173
"445","G3701710",1820,-0.007,6072,6248
"446","G3701770",1820,0.003,2172,2147
"447","G3701830",1820,-0.006,9933,10169
"448","G3701850",1820,0.008,5671,5487
"449","G3701870",1820,0.004,2007,1979
"450","G3701910",1820,0.007,4581,4459
"451","G3701930",1820,-0.003,4949,5018
"452","G3900010",1820,0.017,5383,5023
"453","G3900070",1820,0.026,3881,3494
"454","G3900090",1820,0.018,3281,3057
"455","G3900130",1820,0.01,10360,9969
"456","G3900150",1820,-0.001,6661,6695
"457","G3900170",1820,0.019,11284,10462
"458","G3900210",1820,0.023,4433,4046
"459","G3900230",1820,0.024,4997,4536
"460","G3900250",1820,0.012,8103,7717
"461","G3900270",1820,0.011,4128,3957
"462","G3900290",1820,0.014,11329,10704
"463","G3900310",1820,0.024,3713,3373
"464","G3900350",1820,0.039,3410,2918
"465","G3900370",1820,0.024,1947,1770
"466","G3900410",1820,0.024,4005,3634
"467","G3900450",1820,0.023,8700,7933
"468","G3900470",1820,0.016,3262,3054
"469","G3900490",1820,0.031,5400,4772
"470","G3900530",1820,0.02,3688,3410
"471","G3900550",1820,0.046,4250,3541
"472","G3900570",1820,0.012,5391,5130
"473","G3900590",1820,0.016,4796,4496
"474","G3900610",1820,0.022,16590,15174
"475","G3900670",1820,0.01,7310,7035
"476","G3900710",1820,0.015,6343,5965
"477","G3900730",1820,0.016,1099,1031
"478","G3900770",1820,0.052,3685,2990
"479","G3900790",1820,0.038,2017,1729
"480","G3900810",1820,0.016,9567,8964
"481","G3900830",1820,0.036,4461,3865
"482","G3900870",1820,0.023,1830,1669
"483","G3900890",1820,0.028,6257,5604
"484","G3900910",1820,0.028,1680,1501
"485","G3900970",1820,0.03,2542,2257
"486","G3901030",1820,0.062,1731,1351
"487","G3901050",1820,0.022,2340,2140
"488","G3901090",1820,0.021,4612,4239
"489","G3901110",1820,0.026,2442,2203
"490","G3901130",1820,0.02,8320,7679
"491","G3901150",1820,0.018,2745,2552
"492","G3901190",1820,0.037,9570,8254
"493","G3901270",1820,0.024,4416,4013
"494","G3901290",1820,0.018,6813,6336
"495","G3901310",1820,0.001,2131,2122
"496","G3901330",1820,0.036,5409,4686
"497","G3901350",1820,0.017,5297,4940
"498","G3901390",1820,0.036,4912,4257
"499","G3901410",1820,0.017,10650,9969
"500","G3901430",1820,0.055,473,379
"501","G3901450",1820,0.018,2979,2771
"502","G3901490",1820,0.031,1119,987
"503","G3901510",1820,0.025,6515,5891
"504","G3901550",1820,0.026,8178,7364
"505","G3901570",1820,0.016,4301,4027
"506","G3901590",1820,0.007,1012,984
"507","G3901650",1820,0.022,9316,8521
"508","G3901670",1820,0.019,5411,5014
"509","G3901690",1820,0.017,6164,5769
"510","G3901730",1820,0.076,422,311
"511","G4200010",1820,0.007,9824,9546
"512","G4200030",1820,0.022,18220,16701
"513","G4200050",1820,0.013,5301,5023
"514","G4200070",1820,0.012,7859,7481
"515","G4200090",1820,0.018,10485,9763
