"diocese","rite","lat","long","event","date"
"Ensenada, Baja California Norte","Latin",31.8596,-116.606,"erected","2007-01-26"
"Gomez Palacio, Durango","Latin",25.5681,-103.492,"erected","2008-11-25"
"Guadalajara, Jalisco","Latin",20.6736,-103.344,"erected","1548-07-13"
"Hermosillo, Sonora","Latin",29.0737,-110.963,"erected","1779-05-07"
"Huajuapan de Leon, Oaxaca","Latin",17.8047,-97.7808,"erected","1902-04-25"
"Huautla, Oaxaca","Latin",18.1308,-96.8437,"erected","1972-10-08"
"Huejutla, Hidalgo","Latin",21.1392,-98.4189,"erected","1922-11-24"
"Irapuato, Guanajuato","Latin",20.6787,-101.354,"erected","2004-01-03"
"Jalapa, Veracruz","Latin",19.5438,-96.9102,"erected","1863-03-19"
"La Paz en la Baja California Sur","Latin",24.1426,-110.313,"erected","1988-03-21"
"Leon, Guanajuato","Latin",21.135,-101.661,"erected","1863-01-26"
"Linares, Nuevo Leon","Latin",24.8597,-99.5667,"erected","1962-04-30"
"Matamoros, Tamaulipas","Latin",25.869,-97.5027,"erected","1958-02-16"
"Matehuala, San Luis Potosi","Latin",23.6448,-100.643,"erected","1997-05-28"
"Mazatlan, Sinaloa","Latin",23.2494,-106.411,"erected","1958-11-22"
"Mexicali, Baja California Norte","Latin",32.6245,-115.452,"erected","1966-03-25"
"Mexico, Federal District","Latin",19.2465,-99.1013,"erected","1530-09-02"
"Monterrey, Nuevo Leon","Latin",25.6732,-100.309,"erected","1777-12-15"
"Morelia, Michoacan","Latin",19.706,-101.195,"erected","1536-08-11"
"Netzahualcoyotl, Mexico","Latin",19.4038,-99.0248,"erected","1979-02-05"
"Eparchy of Nuestra Senora de los Martires del Libano en Mexico","Antiochian",23.6345,-102.553,"erected","1995-11-06"
"Eparchy of Nuestra Senora del Paraiso en Mexico","Byzantine",23.6345,-102.553,"erected","1988-02-27"
"Nuevo Casas Grandes, Chihuahua","Latin",30.4199,-107.9,"erected","2000-06-03"
"Nuevo Laredo, Tamaulipas","Latin",27.467,-99.5562,"erected","1989-11-06"
"Orizaba, Veracruz","Latin",18.85,-97.1,"erected","2000-04-15"
"Papantla, Puebla","Latin",19.038,-98.1291,"erected","1922-11-24"
"Parral, Chihuahua","Latin",27.2357,-105.236,"erected","1992-05-11"
"Piedras Negras, Coahuila","Latin",28.7,-100.523,"erected","2003-01-08"
"Puebla de los Angeles, Puebla","Latin",19.0413,-98.2062,"erected","1525-10-13"
"Puerto Escondido, Oaxaca","Latin",15.8655,-97.0694,"erected","2003-11-08"
"Queretaro, Queretaro","Latin",20.5888,-100.39,"erected","1863-01-26"
"Saltillo, Coahuila","Latin",25.4267,-100.995,"erected","1891-06-23"
"San Andres Tuxtla, Veracruz","Latin",18.4466,-95.2175,"erected","1959-05-23"
"San Cristobal de Las Casas, Chiapas","Latin",16.737,-92.6376,"erected","1539-03-19"
"San Juan de los Lagos, Jalisco","Latin",21.2491,-102.332,"erected","1972-03-25"
"San Luis Potosi, San Luis Potosi","Latin",22.1565,-100.986,"erected","1854-08-31"
"Tabasco, Tabasco","Latin",21.8648,-102.913,"erected","1880-05-25"
"Tacambaro, Michoacan","Latin",19.2356,-101.457,"erected","1913-07-26"
"Tapachula, Chiapas","Latin",14.9112,-92.2609,"erected","1957-06-19"
"Tarahumara, Chihuahua","Latin",28.7349,-106.113,"erected","1993-12-20"
"Tehuacan, Puebla","Latin",18.4667,-97.4,"erected","1962-01-13"
"Tehuantepec, Oaxaca","Latin",16.3244,-95.2389,"erected","1891-06-23"
"Tenancingo, Mexico","Latin",18.9598,-99.5868,"erected","2009-11-26"
"Teotihuacan, Mexico","Latin",19.6853,-98.8721,"erected","2008-12-03"
"Tepic, Nayarit","Latin",21.5042,-104.895,"erected","1891-06-23"
"Texcoco, Mexico","Latin",19.4194,-99.1333,"erected","1960-04-30"
"Tijuana, Baja California Norte","Latin",32.5149,-117.038,"erected","1963-07-13"
"Tlalnepantla, Mexico","Latin",19.5345,-99.1907,"erected","1964-01-13"
"Tlapa, Guerrero","Latin",17.5461,-98.5764,"erected","1992-01-04"
"Tlaxcala, Tlaxcala","Latin",19.3182,-98.2375,"erected","1959-05-23"
"Toluca, Mexico","Latin",19.3009,-99.6453,"erected","1950-06-04"
"Torreon, Coahuila","Latin",25.5428,-103.407,"erected","1957-06-19"
"Tula, Hidalgo","Latin",20.0523,-99.3444,"erected","1961-02-27"
"Tulancingo, Hidalgo","Latin",20.0844,-98.368,"erected","1863-01-26"
"Tuxpan, Veracruz","Latin",20.9561,-97.4063,"erected","1962-06-09"
"Tuxtepec, Oaxaca","Latin",18.0882,-96.1232,"erected","1979-01-08"
