"﻿id","name","gender","dates","yearOfBirth","yearOfDeath","placeOfBirth","placeOfDeath","url","lon","lat","born.lon","born.lat","died.lon","died.lat","address"
1521,"Lloyd, James","Male","1905–1974",1905,1974,"England, United Kingdom","England, United Kingdom","http://www.tate.org.uk/art/artists/james-lloyd-1521",-1.17432,52.3555,-1.17432,52.3555,-1.17432,52.3555,"england, uk"
3080,"Lochore, Brad","Male","born 1960",1960,NA,"Wellington, New Zealand","","http://www.tate.org.uk/art/artists/brad-lochore-3080",174.776,-41.2865,174.776,-41.2865,NA,NA,NA
11946,"Locke, Hew","Male","born 1959",1959,NA,"Edinburgh, United Kingdom","","http://www.tate.org.uk/art/artists/hew-locke-11946",-3.18827,55.9533,-3.18827,55.9533,NA,NA,NA
2514,"Locke, William, of Norbury, Junior","Male","1767–1847",1767,1847,"","","http://www.tate.org.uk/art/artists/william-locke-of-norbury-junior-2514",NA,NA,NA,NA,NA,NA,NA
2439,"Locker, Edward Hawke","Male","1777–1849",1777,1849,"","","http://www.tate.org.uk/art/artists/edward-hawke-locker-2439",NA,NA,NA,NA,NA,NA,NA
6007,"Lockhart, Sharon","Female","born 1964",1964,NA,"Norwood, United States","","http://www.tate.org.uk/art/artists/sharon-lockhart-6007",-71.199,42.1944,-71.199,42.1944,NA,NA,NA
1522,"Logan, Peter","Male","born 1943",1943,NA,"Witney, United Kingdom","","http://www.tate.org.uk/art/artists/peter-logan-1522",-1.48505,51.7859,-1.48505,51.7859,NA,NA,NA
354,"Logsdail, William","Male","1859–1944",1859,1944,"Lincoln, United Kingdom","Oxfordshire, United Kingdom","http://www.tate.org.uk/art/artists/william-logsdail-354",-0.540579,53.2307,-0.540579,53.2307,-1.24647,51.7612,"oxfordshire, uk"
1523,"Lohse, Richard Paul","Male","1902–1988",1902,1988,"Zürich, Schweiz","","http://www.tate.org.uk/art/artists/richard-paul-lohse-1523",8.53918,47.3686,8.53918,47.3686,NA,NA,NA
1524,"Loker, John","Male","born 1938",1938,NA,"Leeds, United Kingdom","","http://www.tate.org.uk/art/artists/john-loker-1524",-1.54908,53.8008,-1.54908,53.8008,NA,NA,NA
1138,"London Gallery","","born ?, born 1948",1948,NA,"","","http://www.tate.org.uk/art/artists/the-london-gallery-vaughan-grylls-nicholas-wegner-1138",NA,NA,NA,NA,NA,NA,NA
2570,"Long, Amelia","Female","1772–1837",1772,1837,"London, United Kingdom","Kent, United Kingdom","http://www.tate.org.uk/art/artists/amelia-long-lady-farnborough-2570",-0.127758,51.5074,-0.127758,51.5074,0.521725,51.2787,"kent, uk"
2571,"Long, Charles","Male","1760 or 1–1838",1760,1838,"","Kent, United Kingdom","http://www.tate.org.uk/art/artists/charles-long-baron-farnborough-2571",NA,NA,NA,NA,0.521725,51.2787,"kent, uk"
1525,"Long, Richard","Male","born 1945",1945,NA,"Bristol, United Kingdom","","http://www.tate.org.uk/art/artists/richard-long-1525",-2.58791,51.4545,-2.58791,51.4545,NA,NA,NA
505,"Longhi, Pietro","Male","1702–1785",1702,1785,"Venezia, Italia","Venezia, Italia","http://www.tate.org.uk/art/artists/pietro-longhi-505",12.3155,45.4408,12.3155,45.4408,12.3155,45.4408,"venice, italy"
1526,"Longo, Robert","Male","born 1953",1953,NA,"Brooklyn, United States","","http://www.tate.org.uk/art/artists/robert-longo-1526",-73.9442,40.6782,-73.9442,40.6782,NA,NA,NA
7268,"Lord, Andrew","Male","born 1950",1950,NA,"Rochdale, United Kingdom","","http://www.tate.org.uk/art/artists/andrew-lord-7268",-2.1561,53.6097,-2.1561,53.6097,NA,NA,NA
355,"Lorimer, John Henry","Male","1856–1936",1856,1936,"Edinburgh, United Kingdom","Edinburgh, United Kingdom","http://www.tate.org.uk/art/artists/john-henry-lorimer-355",-3.18827,55.9533,-3.18827,55.9533,-3.18827,55.9533,"edinburgh, city of edinburgh, uk"
9596,"Los Carpinteros","Male","born 1969, born 1971",1971,NA,"Cuba","","http://www.tate.org.uk/art/artists/los-carpinteros-marco-antonio-castillo-valdes-dagoberto-rodriguez-sanchez-9596",-77.7812,21.5218,-77.7812,21.5218,NA,NA,NA
2554,"Loudoun, Edith Maud Rawdon-Hasting, Countess of","Female","1833–1874",1833,1874,"","","http://www.tate.org.uk/art/artists/edith-maud-rawdon-hastings-countess-of-loudoun-2554",NA,NA,NA,NA,NA,NA,NA
1527,"Louis, Morris","Male","1912–1962",1912,1962,"Baltimore Independent City, United States","Washington, United States","http://www.tate.org.uk/art/artists/morris-louis-1527",-95.2845,29.7294,-95.2845,29.7294,-77.0369,38.9072,"washington, dc, usa"
1528,"Louw, Roelof","Male","born 1936",1936,NA,"Cape Town, South Africa","","http://www.tate.org.uk/art/artists/roelof-louw-1528",18.4241,-33.9249,18.4241,-33.9249,NA,NA,NA
1529,"Low, Sir David","Male","1891–1963",1891,1963,"Dunedin, New Zealand","London, United Kingdom","http://www.tate.org.uk/art/artists/sir-david-low-1529",170.503,-45.8788,170.503,-45.8788,-0.127758,51.5074,"london, uk"
1530,"Lowe, Peter","Male","born 1938",1938,NA,"London, United Kingdom","","http://www.tate.org.uk/art/artists/peter-lowe-1530",-0.127758,51.5074,-0.127758,51.5074,NA,NA,NA
