"","university","count","earliest_year","latest_year","lon","lat"
"233","University of Maryland, Baltimore County.",13,1991,2012,-76.7154264,39.2566151
"234","Portland State University.",13,1993,2011,-122.6835567,45.5112888
"235","University of Rochester, Eastman School of Music.",13,1993,2010,-77.6018376,43.1576156
"236","Luther Seminary.",13,1994,2008,-93.1967735,44.9858877
"237","University of Alaska Fairbanks.",13,1996,2012,-147.8231178,64.8570673
"238","University of Missouri - Saint Louis.",12,1994,2012,-90.1994042,38.6270025
"239","Michigan Technological University.",12,1996,2013,-88.5445315,47.1170514
"240","Clemson University.",11,1989,2012,-82.8370896,34.6670459
"241","Universite de Sherbrooke (Canada).",11,1992,2012,-71.9296037,45.3786594
"242","North Carolina State University.",11,1977,2009,-78.6820946,35.7846633
"243","Trent University (Canada).",10,2006,2013,-78.2901596,44.3569495
"244","The Fielding Institute.",10,1989,2000,-119.7174291,34.4292222
"245","Rutgers The State University of New Jersey - Newark.",10,1991,2011,-74.173057,40.740592
"246","California Institute of Technology.",10,1983,2003,-118.125269,34.1376576
"247","The University of North Dakota.",9,1968,2005,-97.0768014,47.922891
"248","Reformed Theological Seminary.",9,2001,2012,-90.2695136,32.3340899
"249","Arkansas State University.",8,2010,2012,-90.6766749,35.8383947
"250","University of Dayton.",8,1997,2010,-84.1792421,39.7406624
"251","Central Michigan University.",8,1999,2008,-84.7751384,43.5912088
"252","Cleveland State University.",8,1993,2009,-81.6743859,41.5027328
"253","The University of Regina (Canada).",7,1994,2011,-104.5870277,50.4182951
"254","Fielding Graduate University.",7,2006,2013,-119.7174291,34.4292222
"255","East Carolina University.",7,2006,2012,-77.366959,35.607482
"256","Garrett-Evangelical Theological Seminary.",7,2005,2012,-87.6755502,42.0560686
"257","University of Colorado at Denver.",7,1994,2008,-104.9618559,39.6735789
"258","The University of Tulsa.",7,1995,2013,-95.9436367,36.150944
"259","Utah State University.",7,1972,2013,-111.8097214,41.7451312
"260","Wesleyan University.",7,1995,2012,-72.6569041,41.5566104
"261","Universite du Quebec a Trois-Rivieres (Canada).",7,2006,2012,-72.5777006,46.3471054
"262","Montana State University.",6,2010,2013,-111.049354,45.667565
"263","Sam Houston State University.",6,1992,2011,-95.5502773,30.7130808
"264","The Wright Institute.",6,1986,2004,-122.2530905,37.8682532
"265","Golden Gate University.",5,1990,1994,-122.398622,37.789144
"266","Golden Gate Baptist Theological Seminary.",5,1988,1995,-117.8900169,33.9152797
"267","The Dropsie College.",5,1961,1987,-75.1551765,39.9889908
"268","North Dakota State University.",5,2009,2012,-96.7996688,46.8923865
"269","Cardinal Stritch University.",5,2007,2009,-87.9078448,43.1390113
"270","Claremont School of Theology.",5,1980,2001,-117.716081,34.1081
"271","Graduate Theological Union and University of California, Berkeley.",5,1989,2006,-122.2505629,37.8739132
